url_length,domain_length,num_digits,num_dots,num_hyphens,has_https,num_subdirs,num_query_params,contains_login,contains_secure,contains_account,contains_update,contains_verify,label
37,22,8,3,0,1,0,1,0,0,1,0,0,0
42,19,13,3,0,1,3,0,0,0,0,0,0,1
44,14,16,2,0,1,3,1,0,0,0,0,0,1
46,16,16,2,0,1,3,1,0,0,0,0,0,1
60,25,21,3,0,1,4,1,0,0,0,0,0,1
43,15,15,2,0,1,4,0,0,0,0,0,0,1
34,19,8,3,0,1,0,1,0,0,0,0,0,0
29,22,4,3,0,0,0,0,0,1,0,0,0,1
38,20,11,3,0,1,2,0,0,0,0,0,0,0
53,26,17,3,0,0,4,0,0,0,0,0,0,0
22,14,3,2,0,1,0,0,0,0,0,0,0,1
50,22,16,3,0,1,3,1,1,0,0,0,0,1
32,14,9,2,0,1,2,0,0,0,0,0,0,1
40,22,11,3,0,1,2,0,0,1,0,0,0,0
36,13,12,2,0,1,3,0,0,0,0,0,0,1
42,22,12,3,0,1,1,1,0,0,0,1,0,0
39,25,9,3,0,0,0,1,0,0,0,0,0,1
49,21,17,3,0,1,4,0,0,0,0,0,0,0
32,19,7,3,0,1,1,0,0,0,0,0,0,0
42,22,12,3,0,1,1,1,0,1,0,0,0,1
39,21,10,3,0,1,2,0,0,0,0,1,0,1
55,21,21,3,0,0,4,1,0,0,0,0,0,1
57,23,20,3,0,1,4,1,0,0,1,0,0,1
52,17,19,2,0,1,4,1,0,0,0,0,0,1
29,15,7,2,0,0,0,1,1,0,0,0,0,1
33,15,9,2,0,1,2,0,0,0,0,0,0,0
40,17,12,2,0,1,3,0,0,0,1,0,0,0
46,16,16,2,0,1,3,1,0,1,0,0,0,0
27,19,5,3,0,1,0,0,0,0,0,0,0,1
42,19,14,3,0,1,3,0,0,0,0,0,0,1
35,22,8,3,0,1,1,0,0,1,0,0,0,1
43,20,13,3,0,1,2,1,0,0,0,0,0,0
47,19,17,3,0,0,3,1,0,0,0,0,0,0
25,17,3,2,0,1,0,0,0,0,1,0,0,0
52,17,19,2,0,1,4,1,0,0,0,1,0,0
35,17,12,2,0,1,2,0,0,0,0,0,0,0
43,22,12,3,0,1,3,0,1,0,0,0,0,1
40,18,12,3,0,0,3,0,0,0,0,0,0,0
31,14,8,2,0,1,2,0,0,0,0,0,0,1
32,19,8,3,0,1,1,0,0,0,0,0,0,0
39,16,12,2,0,1,3,0,0,0,0,0,0,1
30,15,7,2,0,1,0,1,0,0,0,0,0,0
53,19,20,3,0,1,4,1,0,0,0,0,0,0
45,23,17,3,0,0,3,0,0,0,0,0,0,0
39,20,12,3,0,0,1,1,0,0,0,0,0,1
31,23,5,3,0,1,0,0,0,0,1,0,0,1
39,25,8,3,0,1,0,1,0,0,0,0,0,1
56,22,20,3,0,1,4,1,0,1,0,0,0,1
31,16,7,2,0,1,0,1,0,0,0,0,0,1
47,19,17,3,0,1,4,0,0,0,0,0,0,1
37,24,8,3,0,1,1,0,0,0,0,0,0,1
38,20,11,3,0,1,2,0,0,0,0,0,0,1
49,25,15,3,0,0,2,1,0,0,0,0,0,0
39,15,12,2,0,1,2,1,0,0,0,0,0,0
30,17,6,2,0,1,1,0,0,0,1,0,0,0
27,20,5,3,0,0,0,0,0,0,0,0,0,0
47,13,18,2,0,1,4,1,0,0,0,0,0,1
45,22,14,3,0,1,3,0,0,0,0,0,0,0
29,21,4,3,0,1,0,0,0,0,0,0,0,1
34,16,11,2,0,1,2,0,0,0,0,0,0,1
39,17,12,2,0,0,3,0,0,0,0,0,0,0
42,22,12,3,0,1,1,1,0,0,0,0,0,0
44,24,12,3,0,1,1,1,0,0,0,0,0,1
35,20,9,3,0,1,0,1,0,0,0,0,0,1
33,18,7,3,0,1,0,1,0,0,0,0,0,0
47,22,15,3,0,1,2,1,0,0,0,1,0,0
25,12,4,2,0,1,0,1,0,0,0,0,0,1
37,23,8,3,0,1,0,1,0,0,0,1,0,0
27,19,5,3,0,1,0,0,0,0,0,0,0,0
41,19,13,3,0,1,3,0,0,0,0,0,0,0
36,19,9,3,0,1,2,0,0,0,0,0,0,0
28,16,6,2,0,0,1,0,0,0,0,1,0,1
33,21,7,3,0,1,1,0,0,0,0,0,0,0
23,15,2,2,0,1,0,0,0,0,0,0,0,1
57,23,23,3,0,1,4,1,0,0,0,0,0,1
34,17,8,2,0,1,2,0,0,0,0,0,0,0
42,18,12,2,0,1,2,1,0,0,0,0,0,0
28,16,6,2,0,0,1,0,0,1,0,0,0,1
30,22,5,3,0,1,0,0,0,0,0,0,0,0
54,22,19,3,0,0,4,1,0,0,0,0,0,1
47,22,15,3,0,1,2,1,0,0,0,0,0,0
47,19,17,3,0,1,4,0,0,0,0,0,0,0
48,20,17,3,0,1,4,0,0,0,0,0,0,1
45,22,14,3,0,1,3,0,0,1,0,0,0,0
54,24,18,3,0,1,3,1,0,0,1,0,0,1
27,19,5,3,0,1,0,0,0,0,0,0,0,0
42,14,15,2,0,1,4,0,0,0,0,0,0,0
27,13,7,2,0,0,0,1,0,0,0,0,0,1
41,21,12,3,0,1,1,1,1,0,0,0,0,0
41,22,11,3,0,0,1,1,0,0,0,0,0,0
30,15,7,2,0,1,0,1,0,0,0,0,0,1
57,22,23,3,0,1,4,1,0,0,0,0,0,1
30,17,6,2,0,1,1,0,0,0,0,1,0,1
54,21,20,3,0,0,4,1,1,0,0,0,0,1
34,20,9,3,0,0,0,1,0,0,0,0,0,0
41,21,12,3,0,1,1,1,1,0,0,0,0,1
47,22,15,3,0,1,2,1,0,0,0,0,0,1
30,13,8,2,0,0,2,0,0,0,0,0,0,0
34,21,8,3,0,1,1,0,1,0,0,0,0,0
36,18,9,2,0,1,2,0,0,0,0,0,0,1
48,19,17,3,0,1,3,1,0,0,0,0,0,0
42,19,14,3,0,1,3,0,0,0,0,0,0,0
49,22,16,3,0,1,4,0,0,0,0,0,0,1
37,24,8,3,0,1,1,0,0,0,0,0,0,0
40,16,12,2,0,1,2,1,0,1,0,0,0,1
32,20,7,3,0,1,1,0,0,0,0,0,0,1
42,14,14,2,0,1,3,1,0,0,0,0,0,1
44,25,11,3,0,1,1,1,0,0,0,0,0,1
57,22,20,3,0,1,4,1,0,0,0,0,0,0
47,21,15,3,0,0,4,0,0,0,0,0,0,0
48,19,16,3,0,1,3,1,0,0,0,0,0,0
29,21,3,3,0,1,0,0,0,0,0,0,0,1
48,23,15,3,0,1,2,1,0,0,1,0,0,0
46,16,16,2,0,1,3,1,0,1,0,0,0,0
43,23,12,3,0,1,1,1,0,0,0,0,0,1
46,19,15,2,0,0,4,0,0,0,0,0,0,1
49,19,16,2,0,1,3,1,0,0,0,0,0,1
38,23,9,3,0,1,0,1,0,0,1,0,0,0
33,14,10,2,0,0,1,1,0,0,0,0,0,0
26,18,3,2,0,1,0,0,0,0,0,0,0,1
22,14,3,2,0,1,0,0,0,0,0,0,0,0
57,22,21,3,0,1,4,1,0,0,0,0,0,0
45,22,14,3,0,1,3,0,0,0,0,0,0,0
34,19,9,3,0,1,0,1,0,0,0,0,0,0
40,21,12,3,0,0,1,1,0,0,0,0,0,0
42,22,12,3,0,1,1,1,0,1,0,0,0,1
22,14,3,2,0,1,0,0,0,0,0,0,0,0
38,16,12,2,0,0,3,0,0,0,0,1,0,0
26,18,4,3,0,1,0,0,0,0,0,0,0,0
37,22,9,3,0,1,0,1,0,0,0,1,0,0
32,24,5,3,0,1,0,0,0,0,0,0,0,0
47,20,16,3,0,1,4,0,0,0,0,0,0,0
37,22,9,3,0,1,0,1,0,1,0,0,0,1
53,23,18,3,0,1,3,1,0,1,0,0,0,1
37,14,12,2,0,1,3,0,0,0,0,0,0,1
41,21,12,3,0,1,1,1,0,0,0,0,0,0
43,20,11,2,0,1,2,1,0,0,0,0,0,0
48,19,16,3,0,1,3,1,0,0,0,0,0,0
42,15,14,2,0,0,4,0,0,0,0,0,0,1
55,21,21,3,0,0,4,1,1,0,0,0,0,1
37,24,8,3,0,1,1,0,0,0,0,0,0,1
33,20,7,3,0,1,1,0,1,0,0,0,0,1
32,17,7,2,0,1,0,1,0,0,1,0,0,0
43,13,15,2,0,1,3,1,0,0,0,0,0,1
47,22,15,3,0,1,2,1,0,1,0,0,0,0
34,19,9,3,0,1,0,1,0,0,0,0,0,0
32,14,8,2,0,1,2,0,1,0,0,0,0,1
52,17,19,2,0,1,4,1,0,0,0,0,0,1
48,25,14,3,0,1,3,0,0,0,0,0,0,0
39,21,11,3,0,1,2,0,0,0,0,0,0,1
36,23,8,3,0,1,1,0,0,0,0,1,0,1
41,21,12,3,0,1,1,1,1,0,0,0,0,0
33,15,9,2,0,1,2,0,0,0,0,0,0,0
34,21,8,3,0,1,1,0,0,0,0,0,0,0
42,14,15,2,0,1,4,0,0,0,0,0,0,1
37,17,10,2,0,1,1,1,0,0,0,0,0,0
54,21,19,3,0,1,4,1,1,0,0,0,0,1
35,22,8,3,0,1,1,0,0,1,0,0,0,1
45,23,15,3,0,1,3,0,0,0,0,0,0,1
41,17,12,2,0,1,2,1,0,0,1,0,0,1
38,18,10,2,0,1,1,1,0,0,0,0,0,0
44,19,15,3,0,1,2,1,0,0,0,0,0,0
38,25,8,3,0,1,1,0,0,0,0,0,0,1
47,13,19,2,0,0,4,1,0,0,0,0,0,0
37,16,10,2,0,1,3,0,0,0,0,0,0,0
35,18,8,2,0,1,2,0,0,0,0,0,0,1
45,22,14,3,0,1,3,0,0,0,0,0,0,1
47,22,15,3,0,1,2,1,0,1,0,0,0,1
45,15,14,2,0,1,3,1,0,0,0,0,0,0
50,22,17,3,0,1,4,0,0,0,0,0,0,1
38,13,13,2,0,1,2,1,0,0,0,0,0,1
49,19,18,3,0,1,3,1,0,0,0,0,0,0
53,23,18,3,0,1,3,1,0,1,0,0,0,0
32,13,10,2,0,0,1,1,0,0,0,0,0,1
30,17,6,2,0,1,1,0,0,0,0,0,0,0
30,13,8,2,0,0,2,0,0,0,0,0,0,0
53,19,20,3,0,0,4,1,0,0,0,0,0,0
50,25,15,3,0,1,2,1,0,0,0,0,0,1
48,24,15,3,0,0,2,1,0,0,1,0,0,0
45,20,15,3,0,1,2,1,0,0,0,0,0,1
44,21,14,3,0,0,2,1,0,0,0,0,0,0
54,20,20,3,0,1,4,1,0,0,0,0,0,0
46,17,15,2,0,1,3,1,0,0,1,0,0,1
35,16,9,2,0,1,1,1,0,0,0,1,0,0
45,22,14,3,0,1,3,0,0,0,0,0,0,0
45,20,15,3,0,1,2,1,0,0,0,0,0,0
45,15,16,2,0,1,3,1,0,0,0,0,0,0
36,21,8,3,0,1,0,1,0,0,0,1,0,0
40,22,11,3,0,1,2,0,0,0,0,0,0,0
31,19,8,3,0,0,1,0,0,0,0,0,0,1
46,16,16,2,0,1,3,1,0,0,0,0,0,1
24,16,3,2,0,1,0,0,0,1,0,0,0,0
32,13,10,2,0,0,1,1,0,0,0,0,0,1
50,21,18,3,0,0,3,1,0,0,0,0,0,1
31,13,9,2,0,1,2,0,0,0,0,0,0,1
39,21,11,3,0,1,2,0,0,0,0,0,0,1
27,19,4,3,0,1,0,0,0,0,0,0,0,0
60,25,21,3,0,1,4,1,0,0,0,0,0,1
47,19,15,2,0,1,4,0,0,0,0,0,0,0
